site,count,original,beverage,trend,seasonal,random,season_adjust,intervention
B,52,55,Zero-calorie,171.28571428571428,-83.99675781642705,-32.28895646928723,138.99675781642705,dis
B,53,67,Zero-calorie,179.28571428571428,-87.58789082135317,-24.697823464361107,154.58789082135317,dis
B,54,218,Zero-calorie,183,35.90472001608525,-0.904720016085264,182.09527998391474,dis
B,55,247,Zero-calorie,186.57142857142856,32.584522971750275,27.844048456821156,214.4154770282497,dis
B,56,269,Zero-calorie,187,48.50077912938574,33.499220870614266,220.49922087061427,dis
B,57,219,Zero-calorie,186.42857142857142,25.131321001306922,7.440107570121654,193.86867899869307,dis
B,58,231,Zero-calorie,194.7142857142857,29.463305519252035,6.822408766462274,201.53669448074797,dis
B,59,58,Zero-calorie,200.85714285714283,-83.99675781642705,-58.860385040715784,141.99675781642705,dis
B,60,63,Zero-calorie,199.99999999999997,-87.58789082135317,-49.4121091786468,150.58789082135317,dis
B,61,276,Zero-calorie,202.4285714285714,35.90472001608525,37.66670855534335,240.09527998391474,dis
B,62,290,Zero-calorie,198.57142857142856,32.584522971750275,58.844048456821156,257.4154770282497,dis
B,63,263,Zero-calorie,200.85714285714283,48.50077912938574,13.642078013471433,214.49922087061427,dis
B,64,236,Zero-calorie,198.85714285714283,25.131321001306922,12.011536141550238,210.86867899869307,dis
B,65,204,Zero-calorie,189.85714285714286,29.463305519252035,-15.320448376394893,174.53669448074797,dis
B,66,74,Zero-calorie,176.1428571428571,-83.99675781642705,-18.14609932643006,157.99675781642705,dis
B,67,49,Zero-calorie,167.57142857142858,-87.58789082135317,-30.983537750075413,136.58789082135317,dis
B,68,213,Zero-calorie,148,35.90472001608525,29.095279983914736,177.09527998391474,dis
B,69,194,Zero-calorie,121,32.584522971750275,40.41547702824971,161.4154770282497,dis
B,70,203,Zero-calorie,116.14285714285714,48.50077912938574,38.35636372775713,154.49922087061427,dis
B,71,99,Zero-calorie,116.57142857142857,25.131321001306922,-42.7027495727355,73.86867899869307,wash
B,72,15,Zero-calorie,110.71428571428571,29.463305519252035,-125.17759123353774,-14.463305519252035,wash
